player,name,position,team,mean_adp,median_adp,n_drafts
0562,"Chiefs, Kansas City",ST,KCC,169.5,169.5,2
14086,"Hill, Justice",RB,BAL,169.80263157894737,175.5,76
0725,"Buccaneers, Tampa Bay",TMPK,TBB,169.84615384615384,176.0,13
0579,"Saints, New Orleans",ST,NOS,170.0,170.0,1
16299,"Davis, Derius",WR,LAC,170.0,170.0,1
0525,"Buccaneers, Tampa Bay",Def,TBB,170.3012048192771,171.0,83
10671,"Bowles, Todd",Coach,TBB,170.33333333333334,179.0,3
16680,"Little, Cam",PK,JAC,170.37894736842105,172.0,95
13592,"Darnold, Sam",QB,SEA,170.40350877192984,171.0,57
13832,"Sanders, Jason",PK,MIA,170.40540540540542,168.0,37
14244,"Gay, Matt",PK,FA,170.43529411764706,177.0,85
0732,"Texans, Houston",TMPK,HOU,170.63636363636363,168.0,11
15889,"Okonkwo, Chigoziem",TE,TEN,170.81632653061226,169.0,49
17352,"Kroeger, Kai",PN,NOS,171.0,171.0,1
16601,"Shipley, Will",RB,PHI,171.01492537313433,173.0,67
13403,"Koo, Younghoe",PK,FA,171.06593406593407,172.0,91
17080,"Noel, Jaylin",WR,HOU,171.57894736842104,172.0,19
12263,"Waller, Darren",TE,MIA,171.6,172.5,70
0528,"Rams, Los Angeles",Def,LAR,171.70454545454547,176.0,88
16269,"Strange, Brenton",TE,JAC,171.875,172.5,80
0507,"Browns, Cleveland",Def,CLE,172.51111111111112,183.0,45
0517,"Giants, New York",Def,NYG,172.84313725490196,175.0,51
16384,"Bagent, Tyson",QB,CHI,173.0,173.0,1
8274,"Ryans, DeMeco",Coach,HOU,173.0,173.0,1
15802,"Otton, Cade",TE,TBB,173.13333333333333,169.0,30
9064,"Flacco, Joe",QB,CIN,173.3846153846154,178.0,13
17087,"Thornton, Dont'e",WR,LVR,173.55555555555554,181.0,27
17072,"Harris, Tre",WR,LAC,173.93103448275863,178.0,29
13111,"McVay, Sean",Coach,LAR,174.25,177.5,4
16188,"Johnston, Quentin",WR,LAC,174.25,174.0,68
15789,"Watson, Christian",WR,GBP,174.6,170.5,10
0575,"Buccaneers, Tampa Bay",ST,TBB,174.66666666666666,180.0,3
17036,"Howard, Will",QB,PIT,174.66666666666666,194.0,3
10703,"Wilson, Russell",QB,NYG,174.72413793103448,183.0,29
0621,"Bears, Chicago",Off,CHI,175.0,175.0,2
0607,"Browns, Cleveland",Off,CLE,175.0,175.0,1
15369,"Patterson, Riley",PK,MIA,175.33333333333334,158.0,3
16387,"Brooks, Chris",RB,GBP,175.5,175.5,2
17031,"Sanders, Shedeur",QB,CLE,175.58333333333334,172.5,12
0505,"Jets, New York",Def,NYJ,175.72972972972974,177.5,74
16175,"Johnson, Roschon",RB,CHI,175.76923076923077,183.5,26
16610,"Wright, Jaylen",RB,MIA,176.11904761904762,175.5,42
17134,"Williams, Kyle",WR,NEP,176.55172413793105,184.0,29
15288,"Moore, Elijah",WR,DEN,176.75,176.5,4
17327,"Trujillo, Maddux",PK,BUF,177.0,177.0,1
13672,"Gesicki, Mike",TE,CIN,177.37209302325581,178.0,43
15755,"Dotson, Jahan",WR,PHI,177.44444444444446,182.0,9
0628,"Rams, Los Angeles",Off,LAR,177.5,177.5,2
0520,"Commanders, Washington",Def,WAS,177.52459016393442,180.0,61
15779,"Doubs, Romeo",WR,GBP,177.5344827586207,182.0,58
17053,"Marks, Woody",RB,HOU,177.57575757575756,173.0,33
0516,"Cowboys, Dallas",Def,DAL,177.59375,177.0,64
16286,"Moody, Jake",PK,WAS,177.71666666666667,184.0,60
15787,"Thornton, Tyquan",WR,KCC,178.0,178.0,1
16681,"Reichard, Will",PK,MIN,178.23076923076923,180.5,52
0573,"Packers, Green Bay",ST,GBP,178.33333333333334,185.0,3
